DeviceA_ax_max,DeviceA_ax_min,DeviceA_ax_mean,DeviceA_ay_max,DeviceA_ay_min,DeviceA_ay_mean,DeviceA_az_max,DeviceA_az_min,DeviceA_az_mean,DeviceA_gx_max,DeviceA_gx_min,DeviceA_gx_mean,DeviceA_gy_max,DeviceA_gy_min,DeviceA_gy_mean,DeviceA_gz_max,DeviceA_gz_min,DeviceA_gz_mean,DeviceB_ax_max,DeviceB_ax_min,DeviceB_ax_mean,DeviceB_ay_max,DeviceB_ay_min,DeviceB_ay_mean,DeviceB_az_max,DeviceB_az_min,DeviceB_az_mean,DeviceB_gx_max,DeviceB_gx_min,DeviceB_gx_mean,DeviceB_gy_max,DeviceB_gy_min,DeviceB_gy_mean,DeviceB_gz_max,DeviceB_gz_min,DeviceB_gz_mean,activity
0.013916,-0.0115969999999999,-0.000346685,0.073853,-0.062378,-0.00283812,0.057129,-0.04541,0.0029101549999999,1.098634,-1.953126,-0.0424194399999999,2.685547,-2.075196,0.172119095,3.173828,-1.831054,0.238952615,0.0168459999999999,-0.014526,-0.000709815,0.031494,-0.027832,0.00160523,0.0338129999999999,-0.037964,0.00161866,0.915527,-1.64795,-0.03204347,3.051758,-1.708984,0.24078378,1.953125,-2.563477,-0.16998294,riding
0.017212,-0.013916,0.0001263299999999,0.09436,-0.081054,-0.0002142649999999,0.066162,-0.0585939999999999,0.0004882549999999,1.464844,-1.953126,0.01342772,2.685547,-3.112793,-0.13824469,3.173829,-3.845215000000001,0.0216674899999999,0.0220949999999999,-0.0175779999999999,7.510000000000128e-05,0.03772,-0.03186,0.00025148,0.04126,-0.0489499999999999,-6.105000000000082e-05,1.2817379999999998,-1.64795,-0.0134277349999999,3.051758,-3.723144,0.016784685,2.990723,-2.563477,0.136108435,riding
0.017212,-0.013916,0.00091922,0.09436,-0.081054,0.00433287,0.066162,-0.0585939999999999,0.00013796,1.464844,-1.953126,0.03204345,2.685547,-3.112793,0.057983415,3.173829,-4.882814,-0.189209015,0.0220949999999999,-0.0175779999999999,0.0010003649999999,0.03772,-0.03186,5.309000000000008e-05,0.04126,-0.0489499999999999,-0.00250733,1.342774,-1.64795,0.05828858,3.051758,-4.516602,-0.1812744349999999,2.990723,-2.563477,-0.0598144649999999,riding
0.017212,-0.027222,-0.00027219,0.098755,-0.145874,-0.000951525,0.066162,-0.0585939999999999,-0.0017260799999999,1.464844,-1.953126,0.01800539,2.319336,-3.112793,-0.1821899899999999,5.126953,-4.882814,-0.1638793949999999,0.0220949999999999,-0.030884,-0.00011965,0.03772,-0.03186,-0.0014325,0.074829,-0.0489499999999999,0.0005877899999999,1.403808,-1.64795,-0.000915515,4.821777,-4.516602,-0.1651001399999999,2.990723,-2.441407,0.175170935,riding
0.017212,-0.027222,0.0003710949999999,0.098755,-0.145874,0.00211975,0.066162,-0.0585939999999999,-0.0026245149999999,1.464844,-1.770021,0.03082275,2.197267,-3.112793,-0.03906248,5.126953,-4.882814,-0.0527954549999999,0.0220949999999999,-0.030884,0.000413215,0.03772,-0.03186,-0.0014929449999999,0.074829,-0.0489499999999999,-0.000562745,1.403808,-1.586915,0.0283813749999999,4.821777,-4.516602,-0.053405785,2.990723,-2.319336,0.0448608749999999,riding
0.016846,-0.027222,-0.0002838149999999,0.098755,-0.145874,-0.000394255,0.045532,-0.055053,-0.00213928,1.403809,-1.647949,0.0088501,2.01416,-2.319336,0.17883302,5.126953,-4.882814,0.038452145,0.020141,-0.030884,-0.00010988,0.020752,-0.0268559999999999,-0.001703495,0.074829,-0.046997,0.000496815,1.403808,-1.586915,0.0326538299999999,4.821777,-4.516602,0.046386705,2.319336,-1.953125,-0.169677745,riding
0.016846,-0.027222,-0.000812395,0.098755,-0.145874,-0.003943475,0.048951,-0.055053,0.0004296899999999,1.892091,-1.77002,-0.01647949,2.807617,-2.319336,0.1754761049999999,5.126953,-4.272461,0.327148435,0.020141,-0.030884,-0.0006359849999999,0.0262449999999999,-0.031006,-0.000616445,0.074829,-0.046997,0.00155641,1.892091,-1.586915,-0.018615735,4.821777,-3.90625,0.3292846949999999,2.319336,-2.929688,-0.1660157,riding
0.012085,-0.0109869999999999,0.00030944,0.0709229999999999,-0.064942,0.00090638,0.105346,-0.077515,0.0043139499999999,1.892091,-1.77002,0.02136231,3.723145,-4.333497,-0.052490225,2.319336,-2.380371,-0.02166747,0.016724,-0.014282,0.00038147,0.06128,-0.044922,0.002293695,0.0310059999999999,-0.0366209999999999,-0.00170411,2.01416,-14.28223,-0.066528345,2.01416,-2.075196,-0.01312258,4.089356,-3.601076,0.048828055,riding
0.012085,-0.0109869999999999,0.000450435,0.0709229999999999,-0.064942,0.00268065,0.105346,-0.077515,3.66099999999997e-05,1.892091,-1.77002,-0.02227785,3.845216,-4.333497,-0.181579595,2.746582,-2.380371,-0.09490967,0.016724,-0.014282,0.0009429899999999,0.06128,-0.044922,0.000137375,0.0310059999999999,-0.0366209999999999,-0.00284912,15.319828,-14.28223,-0.044555695,2.563478,-2.075196,-0.10131836,4.089356,-3.662109,0.171203625,riding
0.012085,-0.0109869999999999,0.0009051399999999,0.0709229999999999,-0.064942,0.00502503,0.105346,-0.077515,0.00011293,1.892091,-1.77002,-0.0283813549999999,3.845216,-4.333497,-0.099487325,2.746582,-2.380371,-0.0372314749999999,0.016724,-0.014282,0.00125978,0.06128,-0.044922,0.00069885,0.0310059999999999,-0.0366209999999999,-0.00379393,15.319828,-14.28223,-0.0378418199999999,2.563478,-2.075196,-0.0390624949999999,4.089356,-3.662109,0.08422847,riding
